setting,connected_nodes,cycle_check,edge_existence,node_count,node_degree,shortest_path,disconnected_nodes,edge_count,triangle_counting
image_only,0.746,,0.597,0.991,0.777,0.820,0.331,0.566,0.549
text_and_image,0.943,,0.900,1.000,0.854,0.891,0.480,0.771,0.574
text_only,0.946,,0.611,1.000,0.889,0.900,0.417,0.720,0.583
