setting,connected_nodes,cycle_check,edge_existence,node_count,node_degree,shortest_path,disconnected_nodes,edge_count,triangle_counting
image_only,0.243,0.814,0.803,0.986,0.349,0.380,0.074,0.291,0.377
text_and_image,0.454,0.829,0.857,1.000,0.566,0.403,0.089,0.546,0.400
text_only,0.314,0.754,0.849,0.997,0.349,0.337,0.131,0.540,0.397
