task,group,n_evaluated,correct,incorrect,wrong_format,accuracy,n_modality,image,text,neither,image_pct,text_pct,neither_pct
node_count,57-60,3,0,3,0,0.0,3,3,0,0,100.0,0.0,0.0
node_count,61-64,2,0,2,0,0.0,2,2,0,0,100.0,0.0,0.0
node_count,65-68,6,0,6,0,0.0,6,6,0,0,100.0,0.0,0.0
node_count,69-72,2,0,2,0,0.0,2,2,0,0,100.0,0.0,0.0
node_count,73-76,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
node_count,77-80,6,0,6,0,0.0,6,6,0,0,100.0,0.0,0.0
node_count,89-92,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
node_count,97-100,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
node_count,101-104,2,0,2,0,0.0,2,2,0,0,100.0,0.0,0.0
node_count,105-108,2,0,2,0,0.0,2,2,0,0,100.0,0.0,0.0
node_count,117-120,3,0,3,0,0.0,3,3,0,0,100.0,0.0,0.0
node_count,125-128,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
node_count,133-136,2,0,2,0,0.0,2,2,0,0,100.0,0.0,0.0
node_count,153-156,4,0,4,0,0.0,4,4,0,0,100.0,0.0,0.0
node_degree,0-4,2,1,1,0,0.5,2,0,1,1,0.0,50.0,50.0
node_degree,5-8,21,8,13,0,0.380952,21,13,8,0,61.9,38.1,0.0
node_degree,9-12,18,5,13,0,0.277778,18,12,5,1,66.67,27.78,5.56
node_degree,13-16,15,1,14,0,0.066667,15,14,1,0,93.33,6.67,0.0
node_degree,17-20,6,0,6,0,0.0,6,6,0,0,100.0,0.0,0.0
node_degree,21-24,3,1,2,0,0.333333,3,2,1,0,66.67,33.33,0.0
node_degree,25-28,2,1,1,0,0.5,2,1,1,0,50.0,50.0,0.0
node_degree,29-32,5,2,3,0,0.4,5,3,2,0,60.0,40.0,0.0
node_degree,33-36,3,2,1,0,0.666667,3,1,2,0,33.33,66.67,0.0
node_degree,49-52,2,1,1,0,0.5,2,1,1,0,50.0,50.0,0.0
node_degree,53-56,3,0,3,0,0.0,3,3,0,0,100.0,0.0,0.0
node_degree,57-60,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
node_degree,69-72,2,1,1,0,0.5,2,1,1,0,50.0,50.0,0.0
node_degree,77-80,5,0,5,0,0.0,5,4,0,1,80.0,0.0,20.0
node_degree,89-92,4,0,4,0,0.0,4,4,0,0,100.0,0.0,0.0
node_degree,105-108,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
node_degree,117-120,3,0,3,0,0.0,3,2,0,1,66.67,0.0,33.33
